name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,total_reviews,reviews_per_month,host_listings_count,availability_365,number_of_reviews_ltm,has_license
3 floors of luxury!,Mark,Queens,Middle Village,40.71778,-73.87714,Entire home/apt,298.0,30,16,0.1,10,365,0,0
Beautiful Uptown Manhattan apartmnt,Douglas,Manhattan,Harlem,40.80255,-73.95803,Private room,172.0,30,0,0.0,1,365,0,0
S/Rm Br/st  PSlope great for  Med/Stu,Kathleen R,Brooklyn,Park Slope,40.6789595110935,-73.97409474641334,Private room,87.0,3,197,1.12,3,211,24,1
City Room - Private Penthouse Apt.,Wayne,Manhattan,Harlem,40.81182,-73.94631,Entire home/apt,86.0,30,144,0.83,4,59,1,0
Bedroom in my apartment with a private bathroom.,Jenny,Manhattan,East Harlem,40.79934,-73.94236,Private room,125.0,30,304,1.74,1,354,2,0
Work From Our Home w/ Loft,Gustavo,Brooklyn,Williamsburg,40.71065,-73.95087,Private room,127.0,4,117,0.83,2,33,15,1
City Room - Private & Comfy Bedroom,Wayne,Manhattan,Harlem,40.81201,-73.94452,Private room,60.0,30,271,1.57,4,90,0,0
Elegant NYC Pad,Vasili,Queens,Ditmars Steinway,40.772472,-73.906075,Entire home/apt,103.0,30,165,0.95,1,241,6,0
"Clean & cozy 1BR in Cobble Hill, GREAT location!",S.M.,Brooklyn,Brooklyn Heights,40.69003,-73.99338,Private room,292.0,30,295,1.7,1,180,0,0
The Brownstone-Luxury 1 Bd Apt/NYC,Simon,Manhattan,East Harlem,40.80747,-73.94076,Entire home/apt,116.0,30,391,2.24,2,226,3,0
Traveling Nurses and Medical Professionals,Agnes,Manhattan,Harlem,40.8238,-73.94444,Private room,44.0,30,686,4.07,2,92,6,0
"Spacious 1BR, Adorable Clean Quiet",Drica,Manhattan,Lower East Side,40.71946,-73.98641,Entire home/apt,150.0,30,60,0.35,1,151,0,0
Convenient 3BR w/6 beds!!,Mark,Queens,Ridgewood,40.70271,-73.8993,Entire home/apt,223.0,30,4,0.03,10,365,0,0
SpaHa Studio Monthly Rental,Blanca,Manhattan,East Harlem,40.792667388916016,-73.946533203125,Entire home/apt,125.0,30,196,1.16,4,152,0,0
City Room - Private Luxury Suite,Wayne,Manhattan,Harlem,40.81006,-73.94559,Private room,73.0,30,282,1.64,4,83,0,0
"Bright, High Ceiling, Spacious & Cozy 1BR - Enjoy!",Mich,Manhattan,East Village,40.72598,-73.97978,Entire home/apt,115.0,30,168,0.97,6,361,3,0
Great room in great location,Bethania,Manhattan,Harlem,40.80371,-73.95635,Private room,65.0,60,2,0.03,2,180,1,0
Beautiful Landmarked Duplex,Maya,Brooklyn,Greenpoint,40.72967,-73.95352,Entire home/apt,350.0,30,172,1.01,2,180,0,0
LL3,Carol Gloria,Bronx,Clason Point,40.81161,-73.85499,Private room,107.0,30,0,0.0,6,0,0,0
Dominique's mini guest suite w/private bath* Metro,Violet,Bronx,Eastchester,40.881,-73.83511,Private room,125.0,30,57,0.39,8,358,0,0
cozy bedroom in lovely garden apt,Debbie,Brooklyn,Crown Heights,40.67634,-73.95143,Private room,71.0,30,46,0.27,1,5,0,0
Crown Heights Garden Apt.,Anthony,Brooklyn,Crown Heights,40.67579,-73.95072,Private room,57.0,30,257,1.52,2,364,3,0
CHARMING CARROLL GARDENS APT.,Melissa,Brooklyn,Carroll Gardens,40.68028,-73.99328,Entire home/apt,171.0,30,67,0.42,1,167,0,0
East Village Loft with Piano & Patio,Samir,Manhattan,East Village,40.72547,-73.98619,Entire home/apt,349.0,30,170,1.42,1,180,3,0
Lower East Side Magic Apartment Entire Apartment!!,Tony,Manhattan,Nolita,40.72036,-73.99435,Entire home/apt,199.0,30,211,1.27,3,295,0,0
"Lovely, Modern, Garden Apartment",Jana,Brooklyn,Gowanus,40.68088,-73.99102,Entire home/apt,209.0,30,248,1.59,2,272,6,0
Cozy Garden Apartment  in Williamsburg,Adrienne,Brooklyn,Williamsburg,40.71516,-73.96448,Entire home/apt,156.0,30,84,0.5,1,59,4,0
Prewar Penthouse w Private Terrace,Violetta,Manhattan,Upper West Side,40.78846,-73.97459,Entire home/apt,189.0,30,38,0.23,1,144,0,0
Top floor light filled loft on the Bowery,Alicia,Manhattan,Nolita,40.72,-73.99487,Entire home/apt,657.0,30,248,1.46,1,335,1,0
"Nice renovated apt, prime location!",Silvia,Manhattan,Upper West Side,40.77845,-73.98295,Entire home/apt,128.0,30,69,0.44,1,107,6,0
Beautiful One Bed West Village - Monthy Special,Ruperto,Manhattan,Greenwich Village,40.72997,-74.00196,Entire home/apt,200.0,30,56,0.36,1,69,5,0
Bright Cozy Chinatown Studio Apt.,Patricia,Manhattan,Chinatown,40.71624,-73.994,Entire home/apt,120.0,30,423,2.48,1,263,4,0
Modern Bed Stuy loft + rooftop garden,Noemi,Brooklyn,Bedford-Stuyvesant,40.695588790857855,-73.95461923691613,Private room,221.0,30,20,0.12,1,364,0,0
Superior @ Box House,The Box House Hotel,Brooklyn,Greenpoint,40.73777,-73.95366,Hotel room,184.0,1,68,0.4,29,178,9,1
3 Bdr/2ba Brownstone w/Garden. Stunning!,Bliss,Brooklyn,Clinton Hill,40.68337,-73.96253,Entire home/apt,350.0,48,11,0.1,1,152,0,0
Cozy room in East Village with AC,Jennifer,Manhattan,East Village,40.7226132,-73.9854593,Private room,76.0,30,233,1.37,1,365,0,0
"Charming Artist's Flat, East Village",Sarah,Manhattan,East Village,40.72408,-73.98154,Entire home/apt,139.0,30,284,1.68,1,364,3,0
BEAUTIFUL 2 BEDROOM APARTMENT,Ruthven,Brooklyn,Bedford-Stuyvesant,40.68433,-73.94469,Entire home/apt,165.0,30,83,0.74,1,276,4,0
Brooklyn Cove 1 Br Apt w/ Garden In Bushwick!!,Julian,Brooklyn,Bushwick,40.68769,-73.91788,Entire home/apt,77.0,30,250,1.48,1,229,3,0
NY Mag & Budget Travel love us!,Matthew,Brooklyn,Downtown Brooklyn,40.69132,-73.98573,Private room,166.0,30,5,0.03,1,365,0,0
Superior @ Box House,The Box House Hotel,Brooklyn,Greenpoint,40.73777,-73.95366,Hotel room,184.0,1,35,0.21,29,179,4,1
The Brooklyn Waverly,Sahr,Brooklyn,Clinton Hill,40.68513,-73.96648,Entire home/apt,800.0,30,0,0.0,3,358,0,0
Charming furnished Studio-Loft,Catherine,Manhattan,Upper East Side,40.77549,-73.95128,Entire home/apt,95.0,30,1,0.01,1,276,0,0
Entire Luxury 2br/2ba in Prime Williamsburg!,David,Brooklyn,Williamsburg,40.70937,-73.9657,Entire home/apt,424.0,180,2,0.01,1,365,0,0
"The Carlton, Brooklyn brownstone Duplex w/ garden",Chauncey,Brooklyn,Prospect Heights,40.67782,-73.97205,Private room,630.0,30,185,1.15,1,335,0,0
Sunny Apt with Romantic Bedroom,Michelle,Brooklyn,Prospect-Lefferts Gardens,40.6556,-73.95389,Private room,109.0,30,57,0.36,1,89,0,0
Private Bdrm /Bath 1 block Ctrl Prk,Carol,Manhattan,Upper West Side,40.78615,-73.97394,Private room,115.0,30,209,1.29,1,355,1,0
"Spacious, modern private suite in large apartment",Cynthia,Brooklyn,Sunset Park,40.66161712766098,-73.99192061645073,Private room,180.0,3,18,0.11,1,220,3,1
Loft Suite,The Box House Hotel,Brooklyn,Greenpoint,40.73756,-73.9535,Entire home/apt,246.0,1,48,0.35,29,274,0,1
Loft Suite,The Box House Hotel,Brooklyn,Greenpoint,40.73756,-73.9535,Entire home/apt,246.0,1,31,0.22,29,274,1,1
Loft Suite,The Box House Hotel,Brooklyn,Greenpoint,40.73756,-73.9535,Entire home/apt,246.0,1,101,0.64,29,274,9,1
Loft Suite,The Box House Hotel,Brooklyn,Greenpoint,40.73756,-73.9535,Entire home/apt,246.0,1,48,0.3,29,264,12,1
Loft Suite,The Box House Hotel,Brooklyn,Greenpoint,40.73756,-73.9535,Entire home/apt,246.0,1,43,0.27,29,274,1,1
Loft Suite,The Box House Hotel,Brooklyn,Greenpoint,40.73756,-73.9535,Entire home/apt,246.0,1,49,0.3,29,274,0,1
Loft Suite,The Box House Hotel,Brooklyn,Greenpoint,40.73756,-73.9535,Entire home/apt,246.0,1,73,0.45,29,274,3,1
Superior @ Box House,The Box House Hotel,Brooklyn,Greenpoint,40.73756,-73.9535,Hotel room,184.0,1,33,0.22,29,179,1,1
"Vegan Share in Huge, Gorgeous Prime Wburg!",Bree,Brooklyn,Williamsburg,40.71134819720268,-73.95338679325236,Private room,82.0,30,51,0.48,2,90,6,0
